chr	pos	stat	pvals	fdrs
Group1.1	1263803	3.48489889632725	0.000492323028004423	0.0130098466666792
Group1.1	1263998	4.17632495729281	2.9625651995944e-05	0.00115593518690311
Group1.1	1359737	3.1552581745439	0.00160356138323897	0.0338501785743101
Group1.2	752891	4.25466606391536	2.09361231665489e-05	0.000847481719790488
Group1.2	762763	5.4701866327017	4.49561920550182e-08	3.68095851311088e-06
Group1.7	294841	-4.59404081214107	4.34744295796029e-06	0.000218544946463418
Group1.7	451083	-3.26463599731871	0.00109604831689055	0.0248345706686647
Group1.8	61814	-5.5471622390869	2.90343308879884e-08	2.41386960182599e-06
Group1.8	61987	-4.04496621044431	5.23306712827184e-05	0.0018852996507454
Group1.8	274259	-3.39760583915831	0.000679782867237576	0.0168511312594122
Group1.10	228595	-5.77042949512936	7.9069742879343e-09	7.43118070469513e-07
Group1.10	229157	4.77829761045525	1.76785584804028e-06	9.89999274902554e-05
Group1.10	229180	8.85424145589112	8.42548204916882e-19	4.13920954488257e-16
Group1.10	325604	-3.67645326415282	0.000236499158852552	0.00712000810272529
Group1.10	338465	7.54150173739982	4.64589883069093e-14	1.22470425761238e-11
Group1.10	359634	3.18976809102025	0.00142387004282873	0.0307204019725305
Group1.10	359688	4.53674962904891	5.7127860095253e-06	0.000276877987403361
Group1.10	775945	4.47843565750711	7.51920267071046e-06	0.000346158769443628
Group1.10	1382508	-3.03818657127361	0.00238006549196542	0.04431554682708
Group1.15	85833	3.32985047726341	0.000868926318993889	0.0206403421004087
Group1.18	17860	-3.91626261877461	8.99322810882843e-05	0.00299073259692977
Group1.21	128289	3.11814095129313	0.00181995742356077	0.0366296086291336
Group1.21	128443	3.56462850689111	0.000364371898208139	0.0100977730149579
Group1.21	130148	3.0831866825402	0.00204796638607869	0.0398818391004298
Group1.21	130211	4.73168165775615	2.22667423882422e-06	0.000119138094916892
Group1.21	424327	4.58094726741968	4.62874555464039e-06	0.000230541391495638
Group1.21	424527	13.7229325961827	7.40102388180006e-43	3.99951330572475e-39
Group1.21	503178	-6.98307451440662	2.88789137172200e-12	5.67496908101299e-10
Group1.21	503343	-4.89397710724087	9.88183388000404e-07	5.96527718318862e-05
Group1.21	541984	5.12191035631138	3.02455680456813e-07	2.01786481134397e-05
Group1.21	567859	-4.55014474129862	5.3609026432481e-06	0.000263366526219207
Group1.21	600180	3.85770543349293	0.00011445646894176	0.00373729763239438
Group1.21	600220	8.46718999208522	2.51383867076618e-17	1.00628030939411e-14
Group1.21	608204	4.18623666692467	2.83617627983546e-05	0.00111192781844868
Group1.21	608217	4.87148582546396	1.10762110612498e-06	6.47090211621555e-05
Group1.21	608231	5.79246628536735	6.93602526799595e-09	6.6340319554425e-07
Group1.21	613277	3.05021278866632	0.00228679283968399	0.0431703883057176
Group1.22	32411	3.46316112850249	0.000533868593185743	0.0139037391690398
Group1.22	32437	3.07250858502188	0.00212267727387791	0.040821878960983
Group1.22	205725	-4.53434878666098	5.77814795842313e-06	0.000278795638993916
Group1.22	402824	-10.9704373026691	5.30153637825757e-28	8.18557216802968e-25
Group1.22	428733	4.39489893571567	1.10824301852793e-05	0.000484934839848173
Group1.22	428962	4.65951120342573	3.16961145643431e-06	0.000165493529570734
Group1.22	530754	3.97227435346357	7.11896604152594e-05	0.00244259634847023
Group1.22	530762	3.3479287927488	0.000814179279253955	0.0195547770003928
Group1.22	531050	4.90662873685482	9.26551811393621e-07	5.62593931322599e-05
Group1.22	640245	-4.13829303651078	3.49899300122542e-05	0.00134103249493774
Group1.22	640258	-3.82361231433106	0.0001315106439266	0.00418049129281967
