chr	pos	stat	pvals	fdrs
Group1.1	344152	4.43307553578115	9.28983008824423e-06	0.000378619693196514
Group1.1	1134367	-3.36497158599715	0.000765515419482555	0.0143284832229104
Group1.1	1136644	-2.88181104273791	0.00395396769031181	0.0491347238555303
Group1.1	1136678	-4.40143867508465	1.07535462900539e-05	0.000428917248465922
Group1.1	1142052	3.14690946524424	0.00165006044758243	0.0255087965469019
Group1.1	1142140	-3.08576023594604	0.00203032468273008	0.0299026005834937
Group1.1	1252572	2.9373361846637	0.00331045018001474	0.0429936565673293
Group1.1	1252617	3.00132594402643	0.00268806664513903	0.0367412816569734
Group1.1	1252771	3.52734102976273	0.000419755737148243	0.00889342590162099
Group1.1	1252918	3.39134642342026	0.000695501296298983	0.0133708036516621
Group1.1	1252940	3.52302664459758	0.000426648466041738	0.0089884887357064
Group1.1	1253046	4.54247700704387	5.55970621780038e-06	0.000236956902994221
Group1.1	1263998	3.81438711301546	0.000136521324272227	0.00352369273227649
Group1.1	1345777	-2.95736214726024	0.00310283456276305	0.0410101058719909
Group1.2	752873	-5.62127716717602	1.89550878125221e-08	1.57369351261295e-06
Group1.2	752891	-3.98454556971671	6.76093825119086e-05	0.00193802035599353
Group1.2	753072	-5.36777399843846	7.97143524110712e-08	5.83946707074043e-06
Group1.2	753137	-3.35683976631592	0.000788387878711063	0.0145572509795611
Group1.2	762763	-5.38262501001419	7.34073617775867e-08	5.41282704475784e-06
Group1.2	780645	2.8954300045071	0.00378639462172954	0.0475228565737342
Group1.2	783562	-4.78484237901874	1.7112156777289e-06	8.67841869501606e-05
Group1.2	783565	-3.06341978898881	0.00218822858450676	0.0316869069446406
Group1.2	838507	4.34486690322746	1.39360133637631e-05	0.00051073827735808
Group1.3	275347	3.43303808715011	0.000596858247845329	0.0118190587311845
Group1.3	281558	3.00163770755046	0.00268531552797912	0.0367412816569734
Group1.7	54519	-3.45123721094402	0.00055802288357158	0.0112312188225919
Group1.7	451083	5.96974283485927	2.37627837822473e-09	2.48909608066755e-07
Group1.8	61814	3.31684261652861	0.000910408852217772	0.0162409456202713
Group1.8	268025	2.91144805133333	0.00359757724738987	0.0456643862620391
Group1.9	177982	-2.92706470042835	0.00342177688238429	0.044031314922805
Group1.10	208921	3.3249455880213	0.000884357924324438	0.0159355042055117
Group1.10	323077	4.10563443862885	4.03206699458483e-05	0.00125881356198626
Group1.10	338775	-2.92172301828418	0.00348100958475511	0.0445887490582117
Group1.10	786691	-3.58091161872177	0.000342397470129026	0.00761426755001215
Group1.10	976912	5.78912133653991	7.07555735174608e-09	6.55395428085703e-07
Group1.10	1382574	3.46552674878253	0.000529193882425115	0.010808611147998
Group1.10	1382777	-3.31652262561204	0.000911452069517365	0.0162409456202713
Group1.15	1107488	-3.26836982223411	0.00108168924301005	0.0184430033610242
Group1.18	17704	-3.05640194616492	0.00224010735758648	0.0321886195690119
Group1.21	111732	-3.43936662067073	0.000583077022400324	0.011628340332852
Group1.21	130121	-3.33536273745328	0.000851881981131463	0.0154998266956517
