chr	pos	stat	pvals	fdrs
Group1.1	1134367	5.91616405757077	3.29536526137273e-09	2.77702660522298e-07
Group1.1	1134854	3.77328162818064	0.000161114242574296	0.00408544893839979
Group1.1	1136644	3.02516396746429	0.00248498368549649	0.0414459778973878
Group1.1	1251842	-7.50911407349733	5.95288368464174e-14	1.11199867229108e-11
Group1.1	1252004	-6.08081778867031	1.19571112915302e-09	1.08076857544734e-07
Group1.1	1263998	-2.96832078221781	0.00299431659061785	0.0486381164458621
Group1.2	753072	6.01517646539855	1.79690845858123e-09	1.59839285744273e-07
Group1.2	753280	3.19936601168564	0.00137730191226623	0.025987878506195
Group1.2	762763	8.1235145796114	4.52874319469033e-16	1.23800374941681e-13
Group1.2	780645	-3.37474224220339	0.000738848577042964	0.0152786251872648
Group1.2	838480	3.60714852708349	0.000309580467551351	0.00722094515969057
Group1.2	838574	3.64365393246449	0.000268794773464153	0.00645107456313967
Group1.7	54519	4.88428204551064	1.03806395819565e-06	4.74882483406404e-05
Group1.7	294841	-3.34392551487712	0.000826019117508558	0.016863428541049
Group1.7	378551	3.0554898327461	0.00224693220949096	0.0379843381658743
Group1.7	451083	-3.42289064409137	0.00061958998281181	0.0130135789530196
Group1.8	61814	-5.12371776992733	2.99569287644941e-07	1.60649405546627e-05
Group1.8	61987	-4.33716018777461	1.44335435095021e-05	0.000467546692643063
Group1.8	62475	3.30350908546702	0.000954828753538186	0.0189497851740211
Group1.8	269030	-4.89980654066969	9.5931068002202e-07	4.47998087570283e-05
Group1.8	274259	-3.67123188454329	0.00024138421193486	0.00589273399650528
Group1.10	228595	-5.11106002792101	3.20356163481988e-07	1.69365654731421e-05
Group1.10	339747	-5.18816347890278	2.12378126767304e-07	1.19614776121002e-05
Group1.10	786700	3.19821476852841	0.00138281253051125	0.0260043000704197
Group1.10	976912	-4.33267079127506	1.47311304080607e-05	0.000474443993142367
Group1.10	1382508	-4.30943752442048	1.63670285639687e-05	0.000524119017557033
Group1.10	1382518	-3.62578080500665	0.00028808965014353	0.00682644566344332
Group1.10	1382574	-4.52428192252851	6.06009015307279e-06	0.000224163334771089
Group1.14	336446	-4.26133049139365	2.03213457420391e-05	0.000642997537112349
Group1.14	336938	-3.61670668905975	0.000298375079890131	0.00701087609100332
